threshold,gt_id,pred_id,iou
0.25,6415,46,0.5923311251873701
0.25,6418,51,0.846964586846543
0.25,6456,65,0.7841648590021691
0.25,6460,62,0.9469673161533627
0.25,6487,77,0.9373280342402935
0.25,6545,105,0.9393731411576298
0.25,6552,100,0.936676875957121
0.25,6600,124,0.5022950819672131
0.25,6613,133,0.6624263450630541
0.25,6643,141,0.6887660102691417
0.25,6650,145,0.9321401370906321
0.25,6671,152,0.8316858681573386
0.25,6678,159,0.9271391397520282
0.25,6684,163,0.8122579783682735
0.25,6720,175,0.9395823737141102
0.25,6752,186,0.9478892840575228
0.25,6769,196,0.9299946560806168
0.25,6815,222,0.9403052742934864
0.25,6833,229,0.6539851222104145
0.25,6858,241,0.9387913023291805
0.25,6878,248,0.9457280198480384
0.25,6928,272,0.9351915841204024
0.25,6950,280,0.6454450261780105
0.25,6954,281,0.6010286554004408
0.25,6960,282,0.9494187389329433
0.25,6991,296,0.5640823152320342
0.25,7009,309,0.9400401792613198
0.25,7023,315,0.9420490354315579
0.25,7025,314,0.9059941520467836
0.25,7038,318,0.7692905230450544
0.25,7042,324,0.7802957557134627
0.25,7095,344,0.6254020113328909
0.25,7694,80,0.9382648686569491
0.25,10208,21,0.8372108797395375
0.25,10210,20,0.5825118483412323
0.25,10211,29,0.6022254475084664
0.25,10216,34,0.4939749092109607
0.25,10217,35,0.7239443209732133
0.25,10224,31,0.7354357246027925
0.25,10241,48,0.7226467626325455
0.25,10242,38,0.6849850019808704
0.25,10243,40,0.7587527014510651
0.25,10248,44,0.875695079890195
0.25,10250,37,0.7041127408685649
0.25,10255,49,0.9444656342970479
0.25,10256,45,0.5166179770523731
0.25,10268,47,0.9405963479466831
0.25,10270,52,0.9454489497576364
0.25,10271,55,0.9392601613639824
0.25,10280,54,0.7071273309689967
0.25,10283,53,0.9482053261289077
0.25,10289,58,0.9378762154653496
0.25,10296,59,0.9275727710291084
0.25,10297,64,0.8013743887934452
0.25,10299,61,0.9460481630132757
0.25,10313,66,0.9337565975675055
0.25,10317,67,0.942793519158412
0.25,10318,72,0.937995124923827
0.25,10319,70,0.9353504404442742
0.25,10323,68,0.9401975683890578
0.25,10324,69,0.7898807183117054
0.25,10326,78,0.6808486562942009
0.25,10333,73,0.9478381289429143
0.25,10343,81,0.937914728090916
0.25,10346,82,0.8000524968829976
0.25,10350,85,0.9421328401910927
0.25,10351,86,0.9319387833576867
0.25,10353,87,0.9354370415647921
0.25,10367,90,0.9454464813719693
0.25,10369,94,0.9382518653875438
0.25,10371,92,0.7206290471785384
0.25,10378,91,0.9509055876685935
0.25,10382,93,0.9400322903052203
0.25,10384,95,0.9377413873010969
0.25,10388,98,0.9455656073610145
0.25,10393,102,0.9227654469106179
0.25,10394,97,0.9271578626883848
0.25,10397,101,0.9433628318584071
0.25,10399,107,0.942992511080544
0.25,10409,108,0.9344137563722134
0.25,10410,103,0.9292744335088121
0.25,10416,112,0.8700861887744377
0.25,10427,116,0.9333178258509731
0.25,10436,115,0.9413163547100337
0.25,10438,117,0.7902061855670103
0.25,10439,125,0.9340516582607367
0.25,10443,119,0.7694272396398697
0.25,10444,120,0.941033434650456
0.25,10450,128,0.9382593413310919
0.25,10451,121,0.5413184772516249
0.25,10454,123,0.9424728322820883
0.25,10459,129,0.9326491828202205
0.25,10464,135,0.9506772097392938
0.25,10469,132,0.9414808614260711
0.25,10470,131,0.9412582014666152
0.25,10478,139,0.6391085549964055
0.25,10481,134,0.9406252400337968
0.25,10491,138,0.9439883372976291
0.25,10499,140,0.936144578313253
0.25,10501,143,0.9355574131772931
0.25,10510,148,0.7833269304648482
0.25,10512,146,0.9503612211605686
0.25,10519,147,0.9445761027444385
0.25,10525,150,0.9389757743023612
0.25,10531,156,0.941459382280003
0.25,10533,158,0.939466194908084
0.25,10534,153,0.9380244822542151
0.25,10535,154,0.9329393043873607
0.25,10536,155,0.8011910215300045
0.25,10543,168,0.9432640672425869
0.25,10545,165,0.8742142857142857
0.25,10552,166,0.942944550669216
0.25,10553,162,0.9440254994946746
0.25,10559,167,0.9409506258158642
0.25,10562,169,0.6270610057708161
0.25,10567,173,0.934338817794028
0.25,10572,172,0.939922480620155
0.25,10580,176,0.9501712862036749
0.25,10584,180,0.9382820296307669
0.25,10589,182,0.9383280390485783
0.25,10592,178,0.8170983421000066
0.25,10601,185,0.9344882366290945
0.25,10608,183,0.9422961630695443
0.25,10613,192,0.933050269163697
0.25,10616,187,0.9348797780517879
0.25,10617,188,0.9327852629976403
0.25,10621,189,0.9386522075910148
0.25,10625,190,0.6490470674949984
0.25,10630,198,0.9398565810779551
0.25,10631,203,0.6935306700583916
0.25,10632,194,0.8108666666666666
0.25,10636,202,0.9394406348717158
0.25,10637,200,0.9331520507591208
0.25,10646,206,0.6868032879180272
0.25,10653,207,0.9444185323383084
0.25,10658,213,0.9362040260329954
0.25,10674,215,0.9324550715808712
0.25,10675,218,0.6311049354124852
0.25,10681,221,0.9324509356458238
0.25,10688,217,0.9458143309886372
0.25,10693,224,0.930569316363082
0.25,10694,220,0.9335207415286431
0.25,10695,232,0.9299118245534705
0.25,10698,225,0.9296214487013481
0.25,10708,238,0.7567062924005726
0.25,10710,226,0.9359798072510326
0.25,10711,230,0.9311349693251534
0.25,10715,239,0.9405073020753266
0.25,10716,231,0.8079883227176221
0.25,10721,240,0.9478981187582256
0.25,10724,243,0.7742940727550242
0.25,10732,237,0.9306652490886999
0.25,10735,245,0.9312381673608482
0.25,10740,244,0.9286258379037172
0.25,10747,246,0.9349744542498839
0.25,10762,251,0.9381099922540667
0.25,10769,249,0.7535855588526211
0.25,10775,255,0.8005940594059406
0.25,10780,257,0.9296516439696035
0.25,10782,252,0.9400228050171038
0.25,10785,254,0.940148670396199
0.25,10787,261,0.9391710717842642
0.25,10788,259,0.6028748037676609
0.25,10793,258,0.9286942222886614
0.25,10795,256,0.9139359558110025
0.25,10799,262,0.9239634785211794
0.25,10804,267,0.9371350572533556
0.25,10810,268,0.9388964888280894
0.25,10813,278,0.9340642490224642
0.25,10814,269,0.9359318652650963
0.25,10815,265,0.9441069258809235
0.25,10819,274,0.6844044893628901
0.25,10826,279,0.7723051825825072
0.25,10840,286,0.9326952065119084
0.25,10841,284,0.9310946027895695
0.25,10842,287,0.945531914893617
0.25,10846,288,0.6832987610024107
0.25,10860,290,0.7710903117833013
0.25,10871,292,0.9337553363756809
0.25,10872,289,0.9301667659321025
0.25,10873,293,0.9384627058198649
0.25,10874,306,0.9431616341030196
0.25,10883,294,0.9342779620138679
0.25,10884,295,0.9404271844660195
0.25,10886,308,0.9303593366093366
0.25,10891,298,0.9316469321851453
0.25,10892,301,0.817490242773037
0.25,10893,300,0.9360594226204151
0.25,10894,305,0.9282719719490815
0.25,10895,302,0.8048006347946836
0.25,10900,311,0.9420943930237895
0.25,10903,313,0.6322872285150161
0.25,10904,303,0.9381685759805781
0.25,10905,307,0.6120812632200305
0.25,10910,310,0.9303919303919304
0.25,10919,319,0.7238547180142362
0.25,10926,321,0.9423568606182692
0.25,10938,320,0.9278036136311657
0.25,10960,330,0.7526018808777429
0.25,10962,328,0.9400900201769362
0.25,10964,336,0.9414983813781409
0.25,10967,329,0.9355504587155963
0.25,10968,332,0.5712628208103216
0.25,10975,337,0.5422653151167915
0.25,10986,335,0.9492436458573293
0.25,10988,342,0.6463538601465946
0.25,10989,350,0.882068667051356
0.25,10990,338,0.9324977348233162
0.25,10994,341,0.8432681718061674
0.25,10995,345,0.6198603963927243
0.25,11700,39,0.755982905982906
0.25,11701,43,0.7446419873356064
0.25,11702,32,0.4758704231956547
0.25,11704,41,0.6900873312918226
0.25,11705,42,0.9430681643329744
0.25,11707,63,0.9420122887864824
0.25,11710,71,0.9354418747128197
0.25,11711,83,0.9388838337882924
0.25,11712,84,0.8202254598193685
0.25,11715,89,0.9393446432721357
0.25,11716,110,0.7409313725490196
0.25,11717,106,0.6189194678582309
0.25,11718,111,0.9441770186335404
0.25,11722,118,0.9437915571362301
0.25,11723,127,0.9384674624566808
0.25,11725,122,0.934734258762175
0.25,11726,137,0.926482748252274
0.25,11731,149,0.7336516378580926
0.25,11733,160,0.9363243909959914
0.25,11734,157,0.9426654467825557
0.25,11736,161,0.937328662808407
0.25,11738,164,0.9328571428571428
0.25,11739,171,0.9455105973025049
0.25,11740,181,0.9432179099852815
0.25,11741,179,0.9309168120118299
0.25,11744,193,0.9333785004516711
0.25,11745,191,0.9335306168905076
0.25,11747,199,0.8011013069727327
0.25,11748,209,0.9383462097452765
0.25,11749,205,0.9311284341179141
0.25,11753,223,0.9286973855708043
0.25,11754,219,0.9427606844164812
0.25,11755,234,0.9377320544554455
0.25,11756,236,0.9474955207603023
0.25,11758,242,0.7942313995411341
0.25,11762,250,0.9322541046493785
0.25,11763,253,0.9359257286355681
0.25,11764,264,0.9297396913153652
0.25,11766,273,0.9330442451859474
0.25,11767,266,0.9450142669854246
0.25,11768,276,0.7331162047563449
0.25,11769,277,0.9375476589903919
0.25,11774,291,0.937207338604437
0.25,11776,297,0.9344386403209932
0.25,11777,304,0.9274689045406863
0.25,11782,325,0.9326696557489171
0.25,11783,326,0.933801633961976
0.25,11784,334,0.5763771385598797
0.25,11787,349,0.9260826846043383
0.25,11788,353,0.8066179349954314
0.25,11791,348,0.8316056840804559
